road_type,intersection_degree,distance_to_major_road
secondary,4,7.161533260644633
primary,3,14.292853847171372
secondary,4,9.658415742689096
trunk,3,4.053787377583667
tertiary,1,7.732367109142805
primary,4,1.0240428708544127
tertiary,3,24.00294995244562
secondary,3,6.039200667419209
residential,1,295.7506940279939
primary,3,2.367361365249671
trunk,3,20.519250572644633
primary_link,3,14.400407185333496
trunk,3,4.776967737670287
trunk,3,1.3616147637982006
residential,4,229.04197901562924
unclassified,4,220.8571780751314
trunk,3,1.2192103213526306
residential,3,64.41610497221016
secondary,3,2.9483455261848097
primary,3,7.659168545890727
tertiary,3,41.73530131375393
primary,4,7.180085981602971
trunk,3,5.40058921700527
secondary,3,0.07500568422631076
trunk,3,3.3145005278917368
living_street,3,99.91267395049336
secondary,4,4.980973681058136
secondary,4,1.9104149943897075
secondary,4,1.9104149943897075
trunk,3,6.582448109500399
trunk,4,2.4129601913773313
trunk,1,2.0327273673749295
trunk,3,23.0851965693629
trunk,3,11.064020553408783
trunk,3,0.6785171913629683
residential,3,6.103900708006008
trunk,4,4.016968729864596
residential,3,6.033355826370586
trunk,1,2.6466073822411857
primary,3,1.757811009506701
primary,3,0.2988556704344863
trunk,3,3.3782391553556175
primary,5,4.25053319241186
primary,4,4.057163851454319
primary,3,3.0272517509279115
secondary,3,3.115325950791196
secondary,4,5.340765559741414
primary,3,21.675536840808107
trunk,3,1.3478263223936962
tertiary,3,14.732737696548673
primary,3,12.35776578966973
residential,3,34.89466906367298
trunk,3,6.344249680134361
tertiary,3,8.839666868335959
tertiary,3,56.288727382526304
primary,3,7.818192147706848
residential,1,15.446001822368169
primary,3,3.284772033588392
trunk,1,2.4385071240056417
primary,3,2.771280430392018
primary,3,5.605646468687917
tertiary,3,36.84720556778841
trunk,3,3.6263001016025327
residential,3,9.085225311707516
tertiary,3,7.626062559430448
tertiary,3,23.64980035406567
tertiary,3,8.902922213434099
tertiary,3,18.595965695319737
trunk,3,1.1837097027325567
primary,3,6.578103548838639
tertiary_link,3,115.85110135777163
trunk,3,1.5680183801421046
tertiary,3,12.09185273563995
primary,3,0.7409214727396193
tertiary,3,17.199422301990804
primary,3,2.600192882946157
trunk,3,16.69620167595835
trunk,3,12.74266692630901
primary,1,15.12607862524369
unclassified,3,40.8786663727872
primary,1,22.16101960203767
primary,3,11.746708078070162
trunk,4,3.852473844463491
trunk_link,3,0.0935092232667026
primary,1,47.742859753618035
secondary,3,9.557829955602756
tertiary,3,21.096152077274013
secondary,3,5.402861672424621
primary,3,7.741792228959382
secondary,3,5.202383868961499
motorway,3,3.730160161380728
trunk,3,4.949473207286487
residential,4,21.384070846630983
motorway,3,6.550433538019225
residential,4,985.9090383091226
residential,3,1660.1275654291571
trunk,3,3.3039362036514204
unclassified,3,4.84592172248025
residential,3,705.9498745877922
trunk,4,3.5815646542919715
primary,3,16.081630273402055
secondary,4,5.019957901591318
primary,3,9.4295081681482
motorway,3,0.5231918414005258
trunk_link,3,0.22915513580036667
tertiary,3,16.251318106832144
tertiary,3,26.96219436059925
trunk,3,6.446157492239346
secondary,3,2.372075916791251
residential,3,556.0386265210074
tertiary,3,180.48209407845042
trunk,3,5.592194732584786
residential,3,465.27374587948145
primary,4,2.6171725702597515
residential,1,123.45658762772659
tertiary,1,1022.6903045640912
trunk,3,0.798403766083521
residential,3,955.0405809043175
residential,3,414.1059852204528
residential,1,479.40474375670937
residential,1,115.27970189304197
residential,3,386.92120944860494
residential,3,523.8984976181563
residential,3,65.93158024896054
residential,3,527.9278237300961
residential,1,973.1886603281731
residential,1,479.662463949111
secondary,3,1.8122962996381864
secondary,3,2.3087663732852364
primary,3,4.66719702937671
trunk_link,3,2.0457950273605237
secondary,4,0.6755617721838786
primary,3,11.750207614547588
trunk,1,7.228231079849086
tertiary,4,43.92602513658824
secondary,3,3.625569488884762
residential,3,34.99224491409799
primary,3,13.235730968342603
tertiary,1,13.814322716189743
secondary,3,0.87769021668324
tertiary,2,12.40543226014208
trunk,3,2.103919742071944
tertiary,3,25.203990916573016
secondary,3,3.049284023879292
primary,3,1.0662887818425288
trunk,3,6.383747823395797
tertiary,1,59.43591852629754
trunk_link,3,8.720467881896244
secondary,4,1.5855936734732199
tertiary,1,10.296416688444875
trunk,4,3.6868795920855852
tertiary,3,9.598935014183553
residential,3,40.113778387768285
trunk,3,5.396801207582709
trunk,3,0.894366278043376
